epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.05860214472604368,0.9996478253213594,1.0,0.9991023339317774,0.9995509654243376,0.9998951725802685,0.9998756392004617
2,0.0024337260215056863,0.9989434759640782,0.9973142345568488,1.0,0.9986553115194979,0.9999977889998319,0.9999965784803699
3,0.0021580953677776725,0.9992956506427187,0.9991023339317774,0.9991023339317774,0.9991023339317774,0.9999985693528324,0.9999977895381394
4,0.0004233522111400326,0.9992956506427187,0.9991023339317774,0.9991023339317774,0.9991023339317774,0.9999988294704992,0.9999981907284907
