epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc
1,0.06392431224362803,0.9984152139461173,0.9977568416330193,0.9982046678635548,0.99798070450976,0.9999951878231638,0.9999925623137843
2,0.0037439331977724495,0.9978869519281564,0.9946428571428572,1.0,0.9973142345568488,0.9999981791763322,0.9999971823876058
3,0.0009140696336099645,0.9998239126606797,1.0,0.9995511669658886,0.9997755331088665,0.9999975288821652,0.999996204794104
4,0.00048023994595035237,0.9994717379820391,1.0,0.998653500897666,0.9993262968785088,0.9999979190586653,0.9999967997644625
