experiment,model,seed,best_epoch,train_source,external_source,external_before,removed_normalized_overlap,external_after,external_remaining_pct,benign_after,sqli_after,sqli_pct_after,train_source_rows,train_partition_rows,val_partition_rows,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,tn,fp,fn,tp,errors,test_n
cross_source_A_sajid576_TO_B_sqliv2,CodeBERT,42,2,A_sajid576,B_sqliv2,33537,18355,15182,45.2694039419149,15004,178,1.1724410486101964,30764,27687,3077,0.9490185746278488,0.18365180467091294,0.9719101123595506,0.3089285714285714,0.990252,0.839063,0.9603285565796686,0.4108005305242739,14235,769,5,173,774,15182
cross_source_B_sqliv2_TO_A_sajid576,CodeBERT,42,2,B_sqliv2,A_sajid576,30764,18356,12408,40.33285658561955,12313,95,0.7656350741457124,33537,30183,3354,0.015473887814313346,0.007716676143286492,1.0,0.015315170078994035,0.703293,0.034568,0.5039389263380167,0.007796847940384182,97,12216,0,95,12216,12408
