threshold_source,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,tn,fp,fn,tp,errors
default_0.5,0.5,0.015473887814313346,0.007716676143286492,1.0,0.015315170078994035,0.703293,0.034568,0.5039389263380167,0.007796847940384182,97,12216,0,95,12216
validation_B_best_F1,0.9215250015258789,0.015473887814313346,0.007716676143286492,1.0,0.015315170078994035,0.703293,0.034568,0.5039389263380167,0.007796847940384182,97,12216,0,95,12216
validation_B_best_balanced_acc,0.9215250015258789,0.015473887814313346,0.007716676143286492,1.0,0.015315170078994035,0.703293,0.034568,0.5039389263380167,0.007796847940384182,97,12216,0,95,12216
