model,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,tn,fp,fn,tp,errors,n
Random Forest,0.9971701450300672,0.9977252047315741,0.9950090744101633,0.9963652885052249,0.9988843736026723,0.998385958713976,0.9967798995239222,0.994050945310396,3445,5,11,2193,16,5654
XGBoost,0.9962858153519633,0.9977200182398541,0.9927404718693285,0.995224016374801,0.998267,0.997197,0.9956455982535048,0.9921937258425365,3445,5,16,2188,21,5654
SVM,0.99557835160948,0.9954524783992724,0.9931941923774955,0.9943220531455825,0.998418,0.997839,0.9951478208264289,0.9907032091521902,3440,10,15,2189,25,5654
Logistic Regression,0.9908029713477184,0.9931255728689276,0.9832123411978222,0.9881440948472412,0.998396,0.997357,0.9894322575554328,0.9806650470190408,3435,15,37,2167,52,5654
