split,rows,row_pct,benign,sqli,sqli_pct,normalized_groups
train,45288,79.98445806326274,27589,17699,39.08099275746334,36732
validation,5679,10.029847583052225,3451,2228,39.232259200563476,4591
test,5654,9.985694353685028,3450,2204,38.981252210824195,4592
