model,n_seeds,accuracy_mean,accuracy_sd,f1_mean,f1_sd,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,balanced_accuracy_mean,balanced_accuracy_sd,mcc_mean,mcc_sd,errors_mean,errors_sd
BERT-base,5,0.998762,0.000354,0.998411,0.000454,0.999816,0.000191,0.999826,0.000144,0.998592,0.000358,0.997398,0.000744,7.0,2.0
CodeBERT,5,0.999399,9.7e-05,0.999229,0.000124,0.999921,0.000151,0.999936,0.000105,0.999392,6e-05,0.998736,0.000204,3.4,0.547723
