model,accuracy,precision,recall,f1,roc_auc,pr_auc,balanced_accuracy,mcc,tn,fp,fn,tp,errors,n
Random Forest,0.9971701450300672,0.997725204731574,0.9950090744101632,0.9963652885052248,0.9988843736026723,0.998385958713976,0.9967798995239222,0.994050945310396,3445,5,11,2193,16,5654
XGBoost,0.9962858153519633,0.997720018239854,0.9927404718693283,0.995224016374801,0.998267,0.997197,0.9956455982535048,0.9921937258425364,3445,5,16,2188,21,5654
SVM,0.99557835160948,0.9954524783992724,0.9931941923774956,0.9943220531455824,0.998418,0.997839,0.9951478208264288,0.9907032091521902,3440,10,15,2189,25,5654
Logistic Regression,0.9908029713477184,0.9931255728689276,0.9832123411978222,0.9881440948472412,0.998396,0.997357,0.9894322575554328,0.9806650470190408,3435,15,37,2167,52,5654
Char LinearSVC,0.9984082065794128,0.9990904956798544,0.9968239564428312,0.9979559391324098,0.9995866540414003,0.9995242743986726,0.998122123148952,0.996654262013524,3448,2,7,2197,9,5654
Char Logistic Regression,0.996462681287584,0.9986301369863012,0.9922867513611616,0.9954483386436048,0.9993468397380258,0.9993398781195494,0.9957085930718852,0.9925691816502538,3447,3,17,2187,20,5654
