epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_mcc
1,0.05918768419548397,0.9987671715392744,0.9982062780269059,0.9986541049798116,0.9984301412872841,0.9999866021854567,0.9999789604073197,0.9987471742643331,0.9974152753408643
2,0.0037736348816625265,0.9991194082423388,0.9977618621307073,1.0,0.998879677347076,0.9999998699241307,0.9999997988198774,0.9992751522180342,0.9981560054346796
3,0.0015485673760465717,0.9996477632969355,0.9995513683266039,0.9995513683266039,0.9995513683266039,0.9999996097723919,0.9999993961887838,0.9996307146069088,0.9992614292138176
4,0.0007200286380484813,0.9998238816484678,0.9995515695067264,1.0,0.999775734469612,0.9999996097723919,0.9999993961887838,0.9998550304436069,0.9996308120558707
