epoch,train_loss,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_pr_auc,val_balanced_accuracy,val_mcc
1,0.05737744030875881,0.9991055456171736,1.0,0.9976915974145891,0.9988444649872891,0.9999942020262165,0.9999910130094004,0.9988457987072945,0.998116632638604
2,0.003912317882989151,0.9994633273703041,0.9995381062355658,0.9990766389658357,0.9993073193257908,0.999998921307203,0.9999982982432036,0.9993922914455347,0.9988693701615832
3,0.0012664543461962002,0.9994633273703041,0.9995381062355658,0.9990766389658357,0.9993073193257908,0.9999990561438028,0.9999985096275762,0.9993922914455347,0.9988693701615832
4,0.00045014266974320187,0.9992844364937388,0.9990766389658357,0.9990766389658357,0.9990766389658357,0.9999986516340039,0.9999978734156667,0.9992462634081515,0.998492526816303
